State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
WI,Galesville,54612.0,Galesville Waterworks,1496,Bromodichloromethane,1.04,0.06,0,ppb,17.333333333333336
WI,Galesville,54612.0,Galesville Waterworks,1496,Chloroform,4.56,0.4,0,ppb,11.399999999999999
WI,Galesville,54612.0,Galesville Waterworks,1496,Dibromochloromethane,0.69,0.1,0,ppb,6.8999999999999995
WI,Galesville,54612.0,Galesville Waterworks,1496,Haloacetic acids (HAA5)†,6.5,0.1,60,ppb,65.0
WI,Galesville,54612.0,Galesville Waterworks,1496,Radium combined (-226 &amp; -228),2.07,0.05,5,pCi/L,41.39999999999999
WI,Galesville,54612.0,Galesville Waterworks,1496,Total trihalomethanes (TTHMs)†,6.29,0.15,80,ppb,41.93333333333334
WI,Galesville,54612.0,Galesville Waterworks,1496,Trichloroacetic acid,0.634,0.1,0,ppb,6.34
WI,Galesville,54612.0,Galesville Waterworks,1496,Antimony,0.1,1.0,6,ppb,0.1
WI,Galesville,54612.0,Galesville Waterworks,1496,Barium,3.36,700.0,2000,ppb,0.0048
WI,Galesville,54612.0,Galesville Waterworks,1496,Di(2-ethylhexyl) phthalate,0.8,3.0,6,ppb,0.26666666666666666
WI,Galesville,54612.0,Galesville Waterworks,1496,Manganese,5.26,100.0,0,ppb,0.0526
WI,Galesville,54612.0,Galesville Waterworks,1496,Mercury (inorganic),0.1,1.2,2,ppb,0.08333333333333334
WI,Galesville,54612.0,Galesville Waterworks,1496,Monochloroacetic acid,5.87,53.0,0,ppb,0.11075471698113208
WI,Galesville,54612.0,Galesville Waterworks,1496,Nitrate,0.157,0.14,10,ppm,1.1214285714285712
WI,Galesville,54612.0,Galesville Waterworks,1496,Nitrate and nitrite,0.217,0.14,10,ppm,1.5499999999999998
WI,Galesville,54612.0,Galesville Waterworks,1496,Selenium,0.25,30.0,50,ppb,0.008333333333333333
WI,Galesville,54612.0,Galesville Waterworks,1496,Uranium,0.01,0.43,20,pCi/L,0.023255813953488372
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Arsenic*,0.285,0.004,10,ppb,71.24999999999999
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Bromodichloromethane,6.6,0.06,0,ppb,110.0
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Chloroform,7.9,0.4,0,ppb,19.75
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Dibromoacetic acid,0.51,0.04,0,ppb,12.75
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Dibromochloromethane,4.4,0.1,0,ppb,44.0
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Dichloroacetic acid,0.55,0.2,0,ppb,2.75
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Haloacetic acids (HAA5)†,2.76,0.1,60,ppb,27.599999999999998
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Radium combined (-226 &amp; -228)*,0.31,0.05,5,pCi/L,6.199999999999999
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Total trihalomethanes (TTHMs)†,19.8,0.15,80,ppb,132.0
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Trichloroacetic acid,1.7,0.1,0,ppb,17.0
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Barium*,8.4,700.0,2000,ppb,0.012
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Bromoform,0.875,0.5,0,ppb,1.75
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Dichloromethane (methylene chloride)*,0.029,4.0,5,ppb,0.00725
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Manganese*,6.2,100.0,0,ppb,0.062
WI,Whitehall,54612.0,Lincoln Tn Of SD 1,300,Nitrate*,0.0473,0.14,10,ppm,0.33785714285714286
WI,Osseo,54612.0,Osseo Waterworks,1701,Arsenic,0.2,0.004,10,ppb,50.0
WI,Osseo,54612.0,Osseo Waterworks,1701,Bromodichloromethane,3.21,0.06,0,ppb,53.5
WI,Osseo,54612.0,Osseo Waterworks,1701,Bromoform,1.15,0.5,0,ppb,2.3
WI,Osseo,54612.0,Osseo Waterworks,1701,Chloroform,6.82,0.4,0,ppb,17.05
WI,Osseo,54612.0,Osseo Waterworks,1701,Dibromoacetic acid,1.17,0.04,0,ppb,29.249999999999996
