Utility name,City,People served,Zip
"Waldport, City of",Waldport,"Population served: 2,080",97341
"Yachats, City of",Yachats,"Population served: 1,000",97341
"Creswell, City of","Creswell, OR","Population served:5,075",97390
"Veneta, City of","Veneta, OR","Population served:4,755",97401
Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97401
"Oakridge, City of","Oakridge, OR","Population served:3,225",97401
"Brookings, City of",Brookings,"Population served: 6,336",97406
"Gold Beach, City of",Gold Beach,"Population served: 3,000",97406
Harbor Water People's Utility District,Harbor,"Population served: 3,190",97406
Langlois Water District,Langlois,Population served: 220,97406
Nesika Beach-ophir Water District,Gold Beach,"Population served: 1,500",97406
Old Sheep Ranch Water Association,Langlois,Population served: 56,97406
"Port Orford, City of",Port Orford,"Population served: 1,140",97406
Rainbow Rock Service Association,Brookings,Population served: 80,97406
Rainbow Rock Village Mobile Home Park,Brookings,Population served: 115,97406
Saunders Creek Hoc,Gold Beach,Population served: 75,97406
"Canyonville, City of",Canyonville,"Population served: 1,975",97410
City of Roseburg,Roseburg,"Population served: 28,800",97410
Clarks Branch Water Association,Myrtle Creek,Population served: 140,97410
Diamond Lake Lodge/resort,Diamond Lake,Population served: 90,97410
"Drain, City of",Drain,"Population served: 1,151",97410
"Elkton, City of",Elkton,Population served: 200,97410
Fortune Branch Mobile Village,Myrtle Creek,Population served: 80,97410
"Glendale, City of",Cave Junction,Population served: 980,97410
Glide Water Association,Glide,"Population served: 1,200",97410
Lawson Acres Water Association,Riddle,Population served: 75,97410
Milo Academy,Days Creek,Population served: 150,97410
"Myrtle Creek, City of",Myrtle Creek,"Population served: 3,490",97410
"Oakland, City of",Oakland,Population served: 954,97410
Porter Creek Mobile Home Park,Tenmile,Population served: 35,97410
Pp&l-toketee Village,Idleyld Park,Population served: 50,97410
"Reedsport, City of",Reedsport,"Population served: 4,784",97410
Rice Hill West Subdivision,Oakland,Population served: 36,97410
"Riddle, City of",Riddle,"Population served: 1,300",97410
Roberts Creek Water District,Roseburg,"Population served: 6,500",97410
South Umpqua Water Association,Riddle,Population served: 575,97410
"Sutherlin, City of",Sutherlin,"Population served: 8,060",97410
Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97410
U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97410
U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97410
Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97410
Umpqua Ranch Co-op,Idleyld,Population served: 161,97410
Union Gap Water District,Oakland,Population served: 150,97410
Winston-dillard Water District,Winston,"Population served: 8,060",97410
"Yoncalla, City of",Yoncalla,"Population served: 1,095",97410
"Bandon, City of",Bandon,"Population served: 3,175",97411
Bridge Water District,Myrtle Point,Population served: 150,97411
Coos Bay North Bend Water Board,Coos Bay,"Population served: 34,500",97411
"Coquille, City of",Coquille,"Population served: 3,866",97411
Country Club Estates Water District,Coos Bay,Population served: 45,97411
Dean Minard Water District,Coquille,Population served: 78,97411
Garden Valley Water Association,Coquille,Population served: 30,97411
Lakeside Water District,Lakeside,"Population served: 1,800",97411
"Myrtle Point, City of",Myrtle Point,"Population served: 2,600",97411
North Bayside Estates-north,North Bend,Population served: 65,97411
North Bayside Estates-south,North Bend,Population served: 40,97411
"Powers, City of",Powers,Population served: 700,97411
Rink Creek Water District,Coquille,Population served: 286,97411
Sand-n-wood Mobile Villa,North Bend,Population served: 65,97411
Shelley Road-crest Acres Water District,Coquille,Population served: 430,97411
