Utility name,City,People served,Zip
Burlington Water District,Newberg,Population served: 340,97230
Wapato Moorage Association,Portland,Population served: 74,97230
Manna House Church,Portland,Population served: 300,97230
City of Troutdale,Troutdale,"Population served: 16,020",97230
Corbett Water District,Corbett,"Population served: 3,300",97230
Cty of Gresham,Gresham,"Population served: 73,932",97230
"Fairview, City of",Fairview,"Population served: 9,176",97230
Interlachen Water People's Utility District,Fairview,Population served: 360,97230
Lorna Portland Water LLC,Newberg,Population served: 200,97230
Lusted Water District,Gresham,"Population served: 1,200",97230
Mayfair Moorage Inc.,Portland,Population served: 28,97230
Palatine Hill Water District,Portland,"Population served: 1,500",97230
Sigler Cove Marina,Scappoose,Population served: 150,97230
Pleasant Home Water District,Gresham,"Population served: 1,510",97230
Portland Water Bureau,Portland,"Population served: 614,059",97230
Rockwood People's Utilities Department,Portland,"Population served: 61,082",97230
Rocky Pointe Marina,Portland,Population served: 125,97230
Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97230
Sauvie Island Moorage,Portland,Population served: 96,97230
Terrand Mobile Terrace,Silverton,Population served: 71,97230
Valley View Water District,Newberg,"Population served: 1,034",97230
"Wood Village, City of",Wood Village,"Population served: 3,907",97230
Portland Water Bureau,"Portland, OR","Population served:614,059",97231
Joint Water Commission,"Hillsboro, OR","Population served:397,769",97231
Tualatin Valley Water District,"Beaverton, OR","Population served:222,000",97231
City of Hillsboro,"Hillsboro, OR","Population served:88,243",97231
City of Beaverton,"Beaverton, OR","Population served:70,000",97231
Cty of Gresham,"Gresham, OR","Population served:73,932",97231
Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97231
City of Tigard,"Tigard, OR","Population served:60,236",97231
City of Tualatin,"Tualatin, OR","Population served:26,879",97231
City of Forest Grove,"Forest Grove, OR","Population served:23,080",97231
Burlington Water District,Newberg,Population served: 340,97232
Wapato Moorage Association,Portland,Population served: 74,97232
Manna House Church,Portland,Population served: 300,97232
City of Troutdale,Troutdale,"Population served: 16,020",97232
Corbett Water District,Corbett,"Population served: 3,300",97232
Cty of Gresham,Gresham,"Population served: 73,932",97232
"Fairview, City of",Fairview,"Population served: 9,176",97232
Interlachen Water People's Utility District,Fairview,Population served: 360,97232
Lorna Portland Water LLC,Newberg,Population served: 200,97232
Lusted Water District,Gresham,"Population served: 1,200",97232
Mayfair Moorage Inc.,Portland,Population served: 28,97232
Palatine Hill Water District,Portland,"Population served: 1,500",97232
Sigler Cove Marina,Scappoose,Population served: 150,97232
Pleasant Home Water District,Gresham,"Population served: 1,510",97232
Portland Water Bureau,Portland,"Population served: 614,059",97232
Rockwood People's Utilities Department,Portland,"Population served: 61,082",97232
Rocky Pointe Marina,Portland,Population served: 125,97232
