,Contaminant_Score,Simpson_Race_DI_score,Simpson_Ethnic_DI_score,Shannon_Race_DI_score_score,Shannon_Ethnic_DI_score,Gini_Index_score,Total,Priority
250,0,1,0,0,0,0,1,0
251,0,1,1,0,1,0,3,0
252,0,1,0,0,0,0,1,0
253,0,1,0,0,0,0,1,0
254,0,0,0,0,0,0,0,0
255,0,1,1,0,1,0,3,0
256,0,1,0,0,0,0,1,0
257,0,1,0,0,0,0,1,0
258,0,1,0,0,0,0,1,0
259,0,0,0,0,0,0,0,0
260,0,1,0,0,0,0,1,0
261,0,1,1,0,1,0,3,0
262,0,1,0,0,0,0,1,0
263,0,1,1,1,1,0,4,1
264,0,1,0,0,0,0,1,0
265,0,1,0,0,0,0,1,0
266,0,1,1,0,1,0,3,0
267,0,1,0,0,0,0,1,0
268,0,0,0,0,0,0,0,0
269,0,1,0,0,0,0,1,0
270,0,1,0,0,0,0,1,0
271,0,1,0,0,0,0,1,0
272,0,0,0,0,0,0,0,0
273,0,1,1,1,1,0,4,1
274,0,1,0,0,0,0,1,0
275,0,1,0,1,0,0,2,0
276,0,1,0,0,0,0,1,0
277,0,0,0,0,0,0,0,0
278,0,1,0,0,0,0,1,0
279,0,1,0,0,0,0,1,0
280,0,1,0,0,0,0,1,0
281,0,0,0,0,0,0,0,0
282,1,1,1,1,1,0,5,1
283,0,1,0,0,0,0,1,0
284,0,1,1,1,1,0,4,1
285,0,0,0,0,0,0,0,0
286,0,1,0,0,0,0,1,0
287,1,1,0,0,0,0,2,0
288,0,1,1,1,1,0,4,1
289,0,0,0,0,0,0,0,0
290,0,1,1,1,1,0,4,1
291,0,0,0,0,0,0,0,0
292,0,1,0,0,0,0,1,0
293,0,1,1,1,1,0,4,1
294,0,1,0,0,0,0,1,0
295,0,1,0,0,0,0,1,0
296,0,1,0,0,0,0,1,0
297,0,1,0,0,0,0,1,0
298,0,1,0,0,0,0,1,0
299,1,1,1,1,1,0,5,1
300,0,1,1,0,1,0,3,0
301,0,1,1,1,1,0,4,1
302,0,1,1,0,1,0,3,0
303,0,1,1,1,1,0,4,1
304,0,1,0,0,0,0,1,0
305,0,1,0,0,0,1,2,0
306,1,1,1,1,1,0,5,1
307,0,1,0,0,0,0,1,0
308,1,1,1,1,1,0,5,1
309,0,1,0,0,0,0,1,0
310,1,1,1,0,1,0,4,1
311,0,1,0,0,0,0,1,0
312,0,1,1,0,1,1,4,1
313,1,1,1,1,1,0,5,1
314,0,1,1,1,1,1,5,1
315,0,1,1,1,1,0,4,1
316,0,1,0,0,0,0,1,0
317,0,1,0,1,0,0,2,0
318,0,1,0,1,1,0,3,0
319,0,1,0,1,1,1,4,1
320,0,1,0,1,0,0,2,0
321,1,1,1,1,1,0,5,1
322,0,1,0,1,0,0,2,0
323,0,1,0,1,0,0,2,0
324,0,1,0,1,0,1,3,0
325,0,1,0,1,0,0,2,0
326,0,1,0,0,0,0,1,0
327,0,1,0,1,0,0,2,0
328,0,1,0,0,0,0,1,0
329,0,1,0,1,0,1,3,0
330,1,1,0,0,0,0,2,0
331,0,1,0,1,0,0,2,0
332,0,1,0,1,0,0,2,0
333,0,1,0,1,0,0,2,0
334,0,1,0,0,0,0,1,0
335,0,1,1,1,1,0,4,1
336,0,1,0,1,0,0,2,0
337,0,1,0,1,0,0,2,0
338,1,1,0,0,0,0,2,0
339,1,1,0,1,0,1,4,1
340,0,1,0,0,0,0,1,0
341,0,1,0,1,0,0,2,0
342,0,1,0,1,0,1,3,0
343,0,1,1,1,1,0,4,1
344,0,1,0,1,0,0,2,0
345,0,1,0,1,0,1,3,0
346,0,1,0,0,0,0,1,0
347,0,1,1,1,1,0,4,1
348,0,1,0,1,0,0,2,0
349,0,1,0,1,0,0,2,0
350,0,1,0,1,1,0,3,0
351,0,1,0,1,0,1,3,0
352,0,1,0,1,0,0,2,0
353,0,1,1,1,1,0,4,1
354,0,1,0,1,0,0,2,0
355,1,1,0,1,0,0,3,0
356,0,1,0,1,0,1,3,0
357,0,1,0,0,0,0,1,0
358,0,1,0,0,0,0,1,0
359,0,1,0,1,0,0,2,0
360,1,1,1,0,1,0,4,1
361,0,0,0,0,0,0,0,0
362,1,1,0,0,0,0,2,0
363,1,1,1,1,1,0,5,1
364,0,1,1,1,1,1,5,1
365,0,1,0,0,0,0,1,0
366,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0
368,1,1,0,0,0,0,2,0
369,0,1,0,0,0,0,1,0
370,1,1,1,1,1,1,6,1
371,0,1,0,0,0,0,1,0
372,1,1,1,1,1,0,5,1
373,0,1,0,0,0,0,1,0
374,1,1,1,0,1,0,4,1
375,0,1,1,1,1,0,4,1
376,0,0,0,0,0,0,0,0
377,0,1,0,0,0,0,1,0
378,0,1,0,0,0,0,1,0
379,1,1,0,0,0,0,2,0
380,1,1,0,0,0,0,2,0
381,0,1,0,0,0,0,1,0
382,0,0,0,0,0,0,0,0
383,0,1,1,1,1,0,4,1
384,0,0,0,0,0,0,0,0
385,0,1,0,0,0,0,1,0
386,0,0,0,0,0,0,0,0
387,0,1,1,0,1,0,3,0
388,1,1,1,0,1,0,4,1
389,0,1,0,1,0,1,3,0
390,0,1,0,0,0,0,1,0
391,0,1,0,0,0,0,1,0
392,0,1,0,0,0,0,1,0
393,0,1,0,1,0,0,2,0
394,0,1,1,1,1,0,4,1
395,1,1,1,1,1,0,5,1
396,1,1,1,1,1,0,5,1
397,0,1,1,1,1,0,4,1
398,0,1,1,1,1,0,4,1
399,0,1,1,1,1,0,4,1
400,1,1,0,0,0,0,2,0
401,0,1,0,0,0,0,1,0
402,1,1,0,0,0,0,2,0
403,1,1,1,1,1,0,5,1
404,0,1,1,1,1,0,4,1
405,0,1,0,1,0,0,2,0
406,0,1,0,0,0,0,1,0
407,0,1,0,1,0,0,2,0
408,1,1,0,0,0,0,2,0
409,0,1,0,0,0,0,1,0
410,0,0,0,0,0,0,0,0
411,1,1,0,0,0,0,2,0
412,0,1,0,0,0,0,1,0
413,0,1,0,0,0,0,1,0
414,0,1,0,0,0,0,1,0
415,1,1,0,0,0,0,2,0
416,1,0,0,0,0,0,1,0
417,0,1,1,1,1,0,4,1
418,0,1,0,1,1,0,3,0
419,1,1,0,0,0,0,2,0
420,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0
422,0,1,1,0,1,0,3,0
423,0,1,0,0,0,0,1,0
424,0,0,0,0,0,0,0,0
425,0,1,1,1,1,0,4,1
426,1,1,0,1,0,0,3,0
427,0,1,0,1,0,0,2,0
428,0,0,0,0,0,0,0,0
429,0,1,0,1,0,0,2,0
430,1,1,0,0,0,0,2,0
431,0,1,0,0,0,0,1,0
432,1,1,0,1,0,0,3,0
433,0,1,0,0,0,0,1,0
434,1,0,0,0,0,0,1,0
435,0,0,0,0,0,0,0,0
436,1,0,0,0,0,0,1,0
437,0,1,1,1,1,0,4,1
438,1,1,0,0,0,0,2,0
439,0,1,1,1,1,0,4,1
440,1,1,0,0,0,0,2,0
441,1,1,0,0,0,0,2,0
442,0,1,0,0,0,0,1,0
443,0,1,0,0,0,0,1,0
444,0,1,0,0,0,0,1,0
445,0,1,1,1,1,0,4,1
446,0,1,0,0,0,0,1,0
447,0,1,0,1,0,0,2,0
448,1,1,0,0,0,0,2,0
449,0,1,1,0,1,0,3,0
450,0,1,0,1,0,0,2,0
451,1,1,0,0,0,0,2,0
452,0,1,0,0,0,0,1,0
453,0,1,0,0,0,0,1,0
454,0,1,0,0,1,0,2,0
455,1,1,1,1,1,0,5,1
456,0,1,1,1,1,0,4,1
457,0,1,0,0,0,0,1,0
458,1,1,1,1,1,0,5,1
459,0,1,0,0,0,0,1,0
460,0,1,0,0,0,0,1,0
461,0,1,1,1,1,0,4,1
462,0,1,0,0,0,0,1,0
463,0,1,1,0,1,0,3,0
464,0,1,1,1,1,0,4,1
465,0,1,0,1,0,0,2,0
466,0,1,0,0,0,0,1,0
467,1,1,0,0,0,0,2,0
468,0,1,1,1,1,0,4,1
469,0,1,0,0,0,0,1,0
470,0,1,0,1,0,0,2,0
471,1,1,1,1,1,0,5,1
472,0,1,0,0,0,0,1,0
473,0,1,0,0,0,0,1,0
474,0,1,1,1,1,0,4,1
475,0,1,0,0,0,0,1,0
476,0,1,0,0,0,0,1,0
477,1,0,0,0,0,0,1,0
478,1,1,0,0,0,0,2,0
479,0,1,1,1,1,0,4,1
480,0,1,0,0,0,0,1,0
481,0,0,0,0,0,0,0,0
482,1,1,0,0,1,0,3,0
483,0,1,0,0,0,0,1,0
484,0,1,0,0,1,0,2,0
485,0,1,1,0,1,0,3,0
486,0,0,0,0,0,0,0,0
487,0,1,1,1,1,0,4,1
488,0,1,1,1,1,0,4,1
489,0,1,1,1,1,0,4,1
490,1,1,1,1,1,0,5,1
491,0,0,0,0,0,0,0,0
492,1,1,0,0,1,0,3,0
493,1,1,0,0,0,0,2,0
494,1,1,0,0,0,0,2,0
495,1,1,0,0,0,0,2,0
496,0,1,0,0,0,0,1,0
497,0,0,0,0,0,0,0,0
498,0,1,0,0,0,0,1,0
499,0,1,1,0,1,0,3,0
500,0,1,0,0,0,0,1,0
501,0,1,0,0,0,0,1,0
502,0,1,0,0,0,0,1,0
503,0,1,0,1,0,0,2,0
504,1,1,0,0,1,0,3,0
505,0,1,0,0,0,0,1,0
506,1,1,0,1,1,0,4,1
507,0,1,0,1,1,0,3,0
508,0,1,0,0,0,0,1,0
509,0,1,0,0,0,0,1,0
510,0,1,0,0,0,0,1,0
511,0,1,0,1,0,0,2,0
512,0,1,0,0,0,0,1,0
513,0,1,0,0,0,0,1,0
514,0,1,0,0,0,0,1,0
515,0,1,0,0,0,0,1,0
516,0,1,0,0,0,0,1,0
517,0,1,0,1,1,0,3,0
518,0,1,0,0,0,0,1,0
519,1,1,0,1,0,0,3,0
520,0,0,0,0,0,0,0,0
521,0,1,0,0,0,0,1,0
522,0,1,0,0,0,0,1,0
523,0,1,1,1,1,0,4,1
524,0,1,0,0,0,0,1,0
525,0,1,0,0,0,0,1,0
526,1,0,0,0,0,0,1,0
527,0,1,1,1,1,0,4,1
528,0,1,0,0,0,0,1,0
529,0,1,0,0,0,0,1,0
530,0,1,0,0,0,0,1,0
531,0,1,0,1,0,0,2,0
532,0,1,0,1,0,0,2,0
533,1,1,0,1,1,0,4,1
534,0,1,1,1,1,0,4,1
535,0,0,0,0,0,0,0,0
536,0,1,1,1,1,0,4,1
537,1,1,0,0,0,0,2,0
538,0,1,0,0,0,0,1,0
539,0,1,1,0,1,0,3,0
540,0,1,0,0,0,0,1,0
541,0,1,0,0,0,0,1,0
542,0,1,0,1,0,0,2,0
543,1,1,0,1,0,0,3,0
544,0,1,0,0,0,0,1,0
545,0,1,0,0,0,0,1,0
546,0,1,0,0,0,0,1,0
547,0,1,0,0,0,0,1,0
548,1,1,0,0,0,0,2,0
549,0,1,0,0,0,0,1,0
550,0,1,0,0,0,0,1,0
551,0,1,0,0,0,0,1,0
552,0,0,0,0,0,0,0,0
553,1,1,0,1,1,0,4,1
554,0,1,0,0,1,0,2,0
555,1,1,0,1,0,0,3,0
556,0,1,1,1,1,0,4,1
557,0,1,0,0,0,0,1,0
558,0,0,0,0,0,0,0,0
