Utility name,City,People served,Zip
Independence Water Association,Batesville,"Population served: 1,959",38620
Liberty Hill Water Association,Pope,Population served: 726,38620
Love Joy Water Association,Batesville,Population served: 736,38620
Mount Olivet Water Association,Batesville,"Population served: 1,048",38620
North Panola Water District,Como,"Population served: 1,260",38620
Panola-union W/a,Sardis,Population served: 725,38620
Pleasant Grove Water Association,Sardis,Population served: 747,38620
Plum Point Community Water Association,Pope,Population served: 135,38620
Pope-courtland W/a-north,Courtland,"Population served: 1,597",38620
Pope-courtland Water Association,Courtland,Population served: 871,38620
Sardis Lake Community W/a,Batesville,"Population served: 2,500",38620
Town of Como,Como,"Population served: 1,279",38620
Town of Crenshaw,Crenshaw,Population served: 885,38620
City of Batesville,"Batesville, MS","Population served:9,971",38621
Tunica County Utility Dst-riverbend,"Horn Lake, MS","Population served:6,666",38621
Town of Tunica,"Tunica, MS","Population served:4,422",38621
City of Sardis,"Sardis, MS","Population served:3,395",38621
City of Marks,"Marks, MS","Population served:1,738",38621
Big Field Water Association,Marks,Population served: 599,38622
Birdie Water Association,Marks,Population served: 148,38622
City of Marks,Marks,"Population served: 1,738",38622
Darling Water Association,Darling,Population served: 240,38622
Norfleet Utilities Inc.,Marks,Population served: 71,38622
South Lake Water Association,Sledge,Population served: 560,38622
,,Population served: 0,38622
South Quitman-s Lambert Utility,Charleston,Population served: 520,38622
South Quitman-west Crowder,Charleston,Population served: 182,38622
Town of Crowder,Crowder,Population served: 700,38622
Town of Falcon,Sledge,Population served: 167,38622
Town of Lambert,Lambert,"Population served: 1,638",38622
Town of Sledge,Sledge,Population served: 540,38622
West Lambert Water Association,Marks,Population served: 124,38622
Big Field Water Association,Marks,Population served: 599,38623
Birdie Water Association,Marks,Population served: 148,38623
City of Marks,Marks,"Population served: 1,738",38623
Darling Water Association,Darling,Population served: 240,38623
Norfleet Utilities Inc.,Marks,Population served: 71,38623
South Lake Water Association,Sledge,Population served: 560,38623
,,Population served: 0,38623
South Quitman-s Lambert Utility,Charleston,Population served: 520,38623
South Quitman-west Crowder,Charleston,Population served: 182,38623
Town of Crowder,Crowder,Population served: 700,38623
Town of Falcon,Sledge,Population served: 167,38623
Town of Lambert,Lambert,"Population served: 1,638",38623
Town of Sledge,Sledge,Population served: 540,38623
West Lambert Water Association,Marks,Population served: 124,38623
Alpine Water Association,Blue Springs,Population served: 840,38625
Bethlehem Water Association,New Albany,Population served: 908,38625
Blue Springs W/a,Blue Springs,"Population served: 3,000",38625
Chalybeate Water Association,Walnut,"Population served: 1,703",38625
City of New Albany,New Albany,"Population served: 8,500",38625
City of Ripley,Ripley,"Population served: 9,400",38625
Dumas-pine Grove Water Association,Ripley,"Population served: 2,545",38625
Highway 30 West Water Association,Myrtle,"Population served: 1,869",38625
Ingomar Water Association,New Albany,"Population served: 2,508",38625
Keownville Rural Water Association,Baldwyn,"Population served: 2,553",38625
Lake Arrowhead,Hickory Flat,Population served: 250,38625
Lake Mohawk Estates Water System,Booneville,Population served: 342,38625
Mitchell Water Association,Ripley,"Population served: 1,122",38625
Mud Creek Water Association #4,Pontotoc,"Population served: 1,190",38625
North Haven Water Association,New Albany,Population served: 884,38625
Shady Grove Water Association,Ripley,"Population served: 1,162",38625
Spout Springs W/a,Ripley,Population served: 591,38625
Three Forks Water Association,Walnut,"Population served: 1,149",38625
Tiplersville Water Association,Tiplersville,"Population served: 1,023",38625
Town of Blue Mountain,Blue Mountain,"Population served: 1,811",38625
Town of Falkner,Falkner,"Population served: 2,768",38625
Town of Myrtle,Myrtle,"Population served: 1,953",38625
Town of Walnut,Walnut,"Population served: 1,386",38625
Wallerville Water Association,New Albany,"Population served: 3,593",38625
Clarksdale Public Utilities,Clarksdale,"Population served: 17,962",38626
Coahoma Community College,Clarksdale,"Population served: 2,000",38626
Coahoma Utility District #2,Clarksdale,Population served: 554,38626
Green Acres W/a-north,Marks,Population served: 237,38626
Green Acres W/a-south,Marks,Population served: 351,38626
Kwp Utility Company LLC,Robinsonville,Population served: 845,38626
Lu-rand Utility District,Clarksdale,Population served: 215,38626
Moore Bayou W/a #2,Marks,Population served: 420,38626
Moore Bayou W/a #3,Marks,Population served: 378,38626
Moore Bayou Water Association,Marks,Population served: 438,38626
Pine Grove Water Association,Clarksdale,Population served: 433,38626
Rena Lara Water Association,Rena Lara,Population served: 412,38626
Town of Coahoma,Coahoma,Population served: 325,38626
Town of Friars Point,Friars Point,"Population served: 1,200",38626
Town of Jonestown,Jonestown,"Population served: 1,298",38626
Town of Lula,Lula,Population served: 319,38626
Town of Lyon,Lyon,Population served: 382,38626
Town of Tunica,Tunica,"Population served: 4,422",38626
Tunica County Utility Dst-riverbend,Horn Lake,"Population served: 6,666",38626
Water Association of Moon Lake,Clarksdale,Population served: 500,38626
Alpine Water Association,Blue Springs,Population served: 840,38627
Bethlehem Water Association,New Albany,Population served: 908,38627
Blue Springs W/a,Blue Springs,"Population served: 3,000",38627
City of New Albany,New Albany,"Population served: 8,500",38627
Highway 30 West Water Association,Myrtle,"Population served: 1,869",38627
Ingomar Water Association,New Albany,"Population served: 2,508",38627
Keownville Rural Water Association,Baldwyn,"Population served: 2,553",38627
Lake Arrowhead,Hickory Flat,Population served: 250,38627
Mud Creek Water Association #4,Pontotoc,"Population served: 1,190",38627
North Haven Water Association,New Albany,Population served: 884,38627
Town of Myrtle,Myrtle,"Population served: 1,953",38627
Wallerville Water Association,New Albany,"Population served: 3,593",38627
Blackjack Development Association,Falkner,Population served: 613,38629
Chalybeate Water Association,Walnut,"Population served: 1,703",38629
City of Ripley,Ripley,"Population served: 9,400",38629
Dumas-pine Grove Water Association,Ripley,"Population served: 2,545",38629
Lake Mohawk Estates Water System,Booneville,Population served: 342,38629
Mitchell Water Association,Ripley,"Population served: 1,122",38629
North Benton W/a,Lamar,Population served: 388,38629
Shady Grove Water Association,Ripley,"Population served: 1,162",38629
Spout Springs W/a,Ripley,Population served: 591,38629
Three Forks Water Association,Walnut,"Population served: 1,149",38629
