Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Villa Roma Country Club,Uranium,2.84 pCi/L,0.43 pCi/L,20 pCi/L
Villa Roma Country Club,Barium,198.0 ppb,700 ppb,"2,000 ppb"
Villa Roma Country Club,Bromoform,0.110 ppb,0.5 ppb,
Villa Roma Country Club,Chloroform,0.220 ppb,0.4 ppb,
Villa Roma Country Club,Haloacetic acids (HAA5)†,0.141 ppb,0.1 ppb,60 ppb
Villa Roma Country Club,Selenium,0.800 ppb,30 ppb,50 ppb
Villa Roma Country Club,None,,,
Roscoe-rockland Water District,Bromodichloromethane,1.84 ppb,0.06 ppb,
Roscoe-rockland Water District,Chloroform,8.96 ppb,0.4 ppb,
Roscoe-rockland Water District,Dibromochloromethane,0.908 ppb,0.1 ppb,
Roscoe-rockland Water District,Total trihalomethanes (TTHMs)†,11.7 ppb,0.15 ppb,80 ppb
Roscoe-rockland Water District,Barium,34.6 ppb,700 ppb,"2,000 ppb"
Roscoe-rockland Water District,Bromoform,0.0570 ppb,0.5 ppb,
Roscoe-rockland Water District,Dichloroacetic acid,0.0619 ppb,0.2 ppb,
Roscoe-rockland Water District,Haloacetic acids (HAA5)†,0.124 ppb,0.1 ppb,60 ppb
Roscoe-rockland Water District,Nitrate,0.250 ppm,0.14 ppm,10 ppm
Roscoe-rockland Water District,Trichloroacetic acid,0.0619 ppb,0.1 ppb,
Roscoe-rockland Water District,None,,,
Antlers At Diamond Point,Arsenic,0.1000 ppb,0.004 ppb,10 ppb
Antlers At Diamond Point,Bromodichloromethane,6.58 ppb,0.06 ppb,
Antlers At Diamond Point,Chloroform,55.2 ppb,0.4 ppb,
Antlers At Diamond Point,Dibromochloromethane,0.299 ppb,0.1 ppb,
Antlers At Diamond Point,Dichloroacetic acid,6.79 ppb,0.2 ppb,
Antlers At Diamond Point,Haloacetic acids (HAA5)†,22.2 ppb,0.1 ppb,60 ppb
Antlers At Diamond Point,"Radium, combined (-226 &amp; -228)",1.02 pCi/L,0.05 pCi/L,5 pCi/L
Antlers At Diamond Point,Total trihalomethanes (TTHMs)†,62.1 ppb,0.15 ppb,80 ppb
Antlers At Diamond Point,Trichloroacetic acid,15.4 ppb,0.1 ppb,
Antlers At Diamond Point,Barium,6.63 ppb,700 ppb,"2,000 ppb"
Antlers At Diamond Point,Fluoride,0.0792 ppm,,4 ppm
Antlers At Diamond Point,Manganese,3.00 ppb,100 ppb,
Antlers At Diamond Point,Nitrate,0.0568 ppm,0.14 ppm,10 ppm
Antlers At Diamond Point,Selenium,0.0667 ppb,30 ppb,50 ppb
Antlers At Diamond Point,None,,,
Arcady Bay Estates,Bromodichloromethane,5.80 ppb,0.06 ppb,
Arcady Bay Estates,Cadmium,0.111 ppb,0.04 ppb,5 ppb
Arcady Bay Estates,Chloroform,39.5 ppb,0.4 ppb,
Arcady Bay Estates,Dibromochloromethane,0.340 ppb,0.1 ppb,
Arcady Bay Estates,Dichloroacetic acid,11.4 ppb,0.2 ppb,
Arcady Bay Estates,Haloacetic acids (HAA5)†,23.8 ppb,0.1 ppb,60 ppb
Arcady Bay Estates,Total trihalomethanes (TTHMs)†,45.7 ppb,0.15 ppb,80 ppb
Arcady Bay Estates,Trichloroacetic acid,12.4 ppb,0.1 ppb,
Arcady Bay Estates,Barium,4.82 ppb,700 ppb,"2,000 ppb"
Arcady Bay Estates,Fluoride,0.0828 ppm,,4 ppm
Arcady Bay Estates,Manganese,1.000 ppb,100 ppb,
Arcady Bay Estates,Nitrate,0.0985 ppm,0.14 ppm,10 ppm
Arcady Bay Estates,Selenium,0.0889 ppb,30 ppb,50 ppb
Arcady Bay Estates,Toluene,0.0625 ppb,150 ppb,"1,000 ppb"
Arcady Bay Estates,Xylenes (total),0.0250 ppb,"1,800 ppb","10,000 ppb"
Arcady Bay Estates,None,,,
Bolton Water District,Arsenic,0.200 ppb,0.004 ppb,10 ppb
Bolton Water District,Bromodichloromethane,2.30 ppb,0.06 ppb,
Bolton Water District,Chloroform,29.4 ppb,0.4 ppb,
Bolton Water District,Dichloroacetic acid,11.1 ppb,0.2 ppb,
Bolton Water District,Haloacetic acids (HAA5)†,23.7 ppb,0.1 ppb,60 ppb
Bolton Water District,Total trihalomethanes (TTHMs)†,30.6 ppb,0.15 ppb,80 ppb
Bolton Water District,Trichloroacetic acid,10.9 ppb,0.1 ppb,
Bolton Water District,Barium,5.94 ppb,700 ppb,"2,000 ppb"
Bolton Water District,Fluoride,0.0229 ppm,,4 ppm
Bolton Water District,Manganese,49.3 ppb,100 ppb,
Bolton Water District,Monobromoacetic acid,2.03 ppb,25 ppb,
Bolton Water District,Monochloroacetic acid,0.314 ppb,53 ppb,
Bolton Water District,Nitrate,0.0121 ppm,0.14 ppm,10 ppm
Bolton Water District,None,,,
Chestertown Water District,Bromodichloromethane,3.95 ppb,0.06 ppb,
Chestertown Water District,Chloroform,6.66 ppb,0.4 ppb,
Chestertown Water District,Dibromoacetic acid,0.504 ppb,0.04 ppb,
Chestertown Water District,Dibromochloromethane,3.47 ppb,0.1 ppb,
Chestertown Water District,Dichloroacetic acid,2.10 ppb,0.2 ppb,
Chestertown Water District,Haloacetic acids (HAA5)†,5.39 ppb,0.1 ppb,60 ppb
Chestertown Water District,Nitrate,0.592 ppm,0.14 ppm,10 ppm
Chestertown Water District,"Radium, combined (-226 &amp; -228)",0.70 pCi/L,0.05 pCi/L,5 pCi/L
Chestertown Water District,Total trihalomethanes (TTHMs)†,17.2 ppb,0.15 ppb,80 ppb
Chestertown Water District,Trichloroacetic acid,1.67 ppb,0.1 ppb,
Chestertown Water District,Barium,2.50 ppb,700 ppb,"2,000 ppb"
Chestertown Water District,Bromoform,0.606 ppb,0.5 ppb,
Chestertown Water District,Chromium (total),0.750 ppb,,100 ppb
Chestertown Water District,Manganese,1.70 ppb,100 ppb,
Chestertown Water District,Monochloroacetic acid,0.349 ppb,53 ppb,
Chestertown Water District,None,,,
Diamond Point Water District,Barium,1.80 ppb,700 ppb,"2,000 ppb"
Diamond Point Water District,Fluoride,0.406 ppm,,4 ppm
Diamond Point Water District,Nitrate,0.0397 ppm,0.14 ppm,10 ppm
Diamond Point Water District,None,,,
Glens Falls City,Bromochloroacetic acid,1.45 ppb,0.02 ppb,
Glens Falls City,Bromodichloromethane,2.93 ppb,0.06 ppb,
Glens Falls City,Chloroform,44.0 ppb,0.4 ppb,
Glens Falls City,Chromium (hexavalent),0.0459 ppb,0.02 ppb,
Glens Falls City,Dichloroacetic acid,13.8 ppb,0.2 ppb,
Glens Falls City,Haloacetic acids (HAA5)†,42.4 ppb,0.1 ppb,60 ppb
Glens Falls City,Haloacetic acids (HAA9)†,41.3 ppb,0.06 ppb,
Glens Falls City,Nitrate,0.647 ppm,0.14 ppm,10 ppm
Glens Falls City,Total trihalomethanes (TTHMs)†,47.0 ppb,0.15 ppb,80 ppb
Glens Falls City,Trichloroacetic acid,28.6 ppb,0.1 ppb,
Glens Falls City,"2,4-D",0.0292 ppb,20 ppb,70 ppb
Glens Falls City,Barium,5.55 ppb,700 ppb,"2,000 ppb"
Glens Falls City,Carbofuran,0.620 ppb,0.7 ppb,40 ppb
Glens Falls City,Chlorate,97.7 ppb,210 ppb,
Glens Falls City,Chloromethane,0.0850 ppb,2.69 ppb,
Glens Falls City,Chromium (total),0.0786 ppb,,100 ppb
Glens Falls City,Di(2-ethylhexyl) phthalate,0.120 ppb,3 ppb,6 ppb
Glens Falls City,Dibromochloromethane,0.0503 ppb,0.1 ppb,
Glens Falls City,Manganese,3.28 ppb,100 ppb,
Glens Falls City,Monochloroacetic acid,0.0258 ppb,53 ppb,
Glens Falls City,Strontium,0.0621 ppb,"1,500 ppb",
Glens Falls City,Vanadium,0.0300 ppb,21 ppb,
Glens Falls City,None,,,
Gore Village @ North Creek,Arsenic,0.400 ppb,0.004 ppb,10 ppb
Gore Village @ North Creek,"Radium, combined (-226 &amp; -228)",1.50 pCi/L,0.05 pCi/L,5 pCi/L
Gore Village @ North Creek,Barium,12.0 ppb,700 ppb,"2,000 ppb"
Gore Village @ North Creek,Fluoride,0.970 ppm,,4 ppm
Gore Village @ North Creek,None,,,
Green Harbour Development,Arsenic,0.150 ppb,0.004 ppb,10 ppb
Green Harbour Development,Bromodichloromethane,2.36 ppb,0.06 ppb,
Green Harbour Development,Bromoform,1.01 ppb,0.5 ppb,
Green Harbour Development,Chloroform,2.05 ppb,0.4 ppb,
Green Harbour Development,Dibromoacetic acid,1.25 ppb,0.04 ppb,
Green Harbour Development,Dibromochloromethane,2.83 ppb,0.1 ppb,
Green Harbour Development,Dichloroacetic acid,1.40 ppb,0.2 ppb,
Green Harbour Development,Haloacetic acids (HAA5)†,2.65 ppb,0.1 ppb,60 ppb
Green Harbour Development,Nitrate,0.595 ppm,0.14 ppm,10 ppm
Green Harbour Development,Total trihalomethanes (TTHMs)†,8.41 ppb,0.15 ppb,80 ppb
Green Harbour Development,Barium,2.27 ppb,700 ppb,"2,000 ppb"
Green Harbour Development,Cadmium,0.0250 ppb,0.04 ppb,5 ppb
Green Harbour Development,Chromium (total),1.50 ppb,,100 ppb
Green Harbour Development,Di(2-ethylhexyl) adipate,0.314 ppb,200 ppb,400 ppb
Green Harbour Development,Di(2-ethylhexyl) phthalate,0.157 ppb,3 ppb,6 ppb
Green Harbour Development,Fluoride,0.437 ppm,,4 ppm
Green Harbour Development,Manganese,0.400 ppb,100 ppb,
Green Harbour Development,Selenium,0.250 ppb,30 ppb,50 ppb
Green Harbour Development,None,,,
Green Mansions Homeowners Association Tennis & Swim,Arsenic,0.550 ppb,0.004 ppb,10 ppb
Green Mansions Homeowners Association Tennis & Swim,Dibromochloromethane,0.283 ppb,0.1 ppb,
Green Mansions Homeowners Association Tennis & Swim,Dichloroacetic acid,0.873 ppb,0.2 ppb,
Green Mansions Homeowners Association Tennis & Swim,Haloacetic acids (HAA5)†,1.24 ppb,0.1 ppb,60 ppb
Green Mansions Homeowners Association Tennis & Swim,Total trihalomethanes (TTHMs)†,0.805 ppb,0.15 ppb,80 ppb
Green Mansions Homeowners Association Tennis & Swim,Trichloroacetic acid,0.370 ppb,0.1 ppb,
Green Mansions Homeowners Association Tennis & Swim,Bromoform,0.253 ppb,0.5 ppb,
Green Mansions Homeowners Association Tennis & Swim,Nitrate,0.0507 ppm,0.14 ppm,10 ppm
Green Mansions Homeowners Association Tennis & Swim,None,,,
K & J Adirondack Properties LLC,Bromoform,1.39 ppb,0.5 ppb,
K & J Adirondack Properties LLC,Haloacetic acids (HAA5)†,0.467 ppb,0.1 ppb,60 ppb
K & J Adirondack Properties LLC,Total trihalomethanes (TTHMs)†,1.39 ppb,0.15 ppb,80 ppb
K & J Adirondack Properties LLC,Barium,62.0 ppb,700 ppb,"2,000 ppb"
K & J Adirondack Properties LLC,Fluoride,1.36 ppm,,4 ppm
K & J Adirondack Properties LLC,Manganese,9.40 ppb,100 ppb,
K & J Adirondack Properties LLC,Monobromoacetic acid,0.467 ppb,25 ppb,
K & J Adirondack Properties LLC,Nitrate,0.143 ppm,0.14 ppm,10 ppm
K & J Adirondack Properties LLC,Selenium,1.000 ppb,30 ppb,50 ppb
K & J Adirondack Properties LLC,None,,,
Lagoon Manor Homeowners Association,Arsenic,0.0667 ppb,0.004 ppb,10 ppb
Lagoon Manor Homeowners Association,Bromodichloromethane,4.48 ppb,0.06 ppb,
Lagoon Manor Homeowners Association,Chloroform,39.6 ppb,0.4 ppb,
Lagoon Manor Homeowners Association,Dibromoacetic acid,0.183 ppb,0.04 ppb,
Lagoon Manor Homeowners Association,Dibromochloromethane,1.35 ppb,0.1 ppb,
Lagoon Manor Homeowners Association,Dichloroacetic acid,7.73 ppb,0.2 ppb,
Lagoon Manor Homeowners Association,Haloacetic acids (HAA5)†,20.7 ppb,0.1 ppb,60 ppb
Lagoon Manor Homeowners Association,Total trihalomethanes (TTHMs)†,45.5 ppb,0.15 ppb,80 ppb
Lagoon Manor Homeowners Association,Trichloroacetic acid,12.7 ppb,0.1 ppb,
Lagoon Manor Homeowners Association,Antimony,0.217 ppb,1 ppb,6 ppb
Lagoon Manor Homeowners Association,Barium,4.33 ppb,700 ppb,"2,000 ppb"
Lagoon Manor Homeowners Association,Chromium (total),0.550 ppb,,100 ppb
Lagoon Manor Homeowners Association,Fluoride,0.0616 ppm,,4 ppm
Lagoon Manor Homeowners Association,Manganese,5.00 ppb,100 ppb,
Lagoon Manor Homeowners Association,Nitrate,0.0795 ppm,0.14 ppm,10 ppm
Lagoon Manor Homeowners Association,Selenium,0.0667 ppb,30 ppb,50 ppb
Lagoon Manor Homeowners Association,None,,,
North Creek Water District,Bromodichloromethane,0.854 ppb,0.06 ppb,
North Creek Water District,Chloroform,2.86 ppb,0.4 ppb,
North Creek Water District,Dichloroacetic acid,0.900 ppb,0.2 ppb,
North Creek Water District,Haloacetic acids (HAA5)†,2.00 ppb,0.1 ppb,60 ppb
North Creek Water District,Nitrate,0.505 ppm,0.14 ppm,10 ppm
North Creek Water District,Total trihalomethanes (TTHMs)†,3.72 ppb,0.15 ppb,80 ppb
North Creek Water District,Trichloroacetic acid,1.11 ppb,0.1 ppb,
North Creek Water District,Barium,5.50 ppb,700 ppb,"2,000 ppb"
North Creek Water District,Manganese,17.0 ppb,100 ppb,
North Creek Water District,None,,,
Queensbury Water District,Bromodichloromethane,2.29 ppb,0.06 ppb,
Queensbury Water District,Chloroform,42.8 ppb,0.4 ppb,
Queensbury Water District,Dichloroacetic acid,6.21 ppb,0.2 ppb,
Queensbury Water District,Haloacetic acids (HAA5)†,19.2 ppb,0.1 ppb,60 ppb
Queensbury Water District,Haloacetic acids (HAA9)†,18.1 ppb,0.06 ppb,
Queensbury Water District,Total trihalomethanes (TTHMs)†,45.5 ppb,0.15 ppb,80 ppb
Queensbury Water District,Trichloroacetic acid,12.9 ppb,0.1 ppb,
Queensbury Water District,Barium,5.00 ppb,700 ppb,"2,000 ppb"
Queensbury Water District,Bromomethane,0.0276 ppb,,
Queensbury Water District,Chlorate,83.5 ppb,210 ppb,
Queensbury Water District,Chromium (hexavalent),0.00750 ppb,0.02 ppb,
Queensbury Water District,Manganese,7.43 ppb,100 ppb,
Queensbury Water District,Nitrate,0.157 ppm,0.14 ppm,10 ppm
Queensbury Water District,Strontium,0.0248 ppb,"1,500 ppb",
Queensbury Water District,Vanadium,0.300 ppb,21 ppb,
Queensbury Water District,Xylenes (total),0.362 ppb,"1,800 ppb","10,000 ppb"
Queensbury Water District,None,,,
On Top of The World,Arsenic,0.150 ppb,0.004 ppb,10 ppb
On Top of The World,Haloacetic acids (HAA5)†,2.55 ppb,0.1 ppb,60 ppb
On Top of The World,Haloacetic acids (HAA9)†,3.22 ppb,0.06 ppb,
On Top of The World,Nitrate,2.22 ppm,0.14 ppm,10 ppm
On Top of The World,"Radium, combined (-226 &amp; -228)",1.93 pCi/L,0.05 pCi/L,5 pCi/L
On Top of The World,Total trihalomethanes (TTHMs)†,5.69 ppb,0.15 ppb,80 ppb
On Top of The World,Barium,4.88 ppb,700 ppb,"2,000 ppb"
On Top of The World,Chromium (total),0.700 ppb,,100 ppb
On Top of The World,Fluoride,0.0533 ppm,,4 ppm
On Top of The World,Manganese,0.127 ppb,100 ppb,
On Top of The World,Selenium,0.175 ppb,30 ppb,50 ppb
On Top of The World,Thallium,0.0250 ppb,0.1 ppb,2 ppb
On Top of The World,Uranium,0.30 pCi/L,0.43 pCi/L,20 pCi/L
On Top of The World,None,,,
Warrensburg Water District,Bromodichloromethane,4.02 ppb,0.06 ppb,
Warrensburg Water District,Bromoform,1.11 ppb,0.5 ppb,
Warrensburg Water District,Chloroform,6.21 ppb,0.4 ppb,
Warrensburg Water District,Dibromochloromethane,3.87 ppb,0.1 ppb,
Warrensburg Water District,Dichloroacetic acid,0.967 ppb,0.2 ppb,
Warrensburg Water District,Haloacetic acids (HAA5)†,3.00 ppb,0.1 ppb,60 ppb
Warrensburg Water District,Nitrate,1.12 ppm,0.14 ppm,10 ppm
Warrensburg Water District,Nitrate and nitrite,0.460 ppm,0.14 ppm,10 ppm
Warrensburg Water District,Radon,318.00 pCi/L,1.5 pCi/L,
Warrensburg Water District,Total trihalomethanes (TTHMs)†,15.3 ppb,0.15 ppb,80 ppb
Warrensburg Water District,Trichloroacetic acid,2.03 ppb,0.1 ppb,
Warrensburg Water District,Barium,12.4 ppb,700 ppb,"2,000 ppb"
Warrensburg Water District,Chromium (total),0.500 ppb,,100 ppb
Warrensburg Water District,Fluoride,0.0468 ppm,,4 ppm
Warrensburg Water District,Manganese,0.229 ppb,100 ppb,
Warrensburg Water District,None,,,
Fort Ann Water Supply,Bromodichloromethane,1.90 ppb,0.06 ppb,
Fort Ann Water Supply,Chloroform,2.46 ppb,0.4 ppb,
Fort Ann Water Supply,Dibromochloromethane,1.49 ppb,0.1 ppb,
Fort Ann Water Supply,Dichloroacetic acid,1.52 ppb,0.2 ppb,
Fort Ann Water Supply,Haloacetic acids (HAA5)†,1.72 ppb,0.1 ppb,60 ppb
Fort Ann Water Supply,Nitrate,0.286 ppm,0.14 ppm,10 ppm
Fort Ann Water Supply,Total trihalomethanes (TTHMs)†,5.79 ppb,0.15 ppb,80 ppb
Fort Ann Water Supply,Barium,12.0 ppb,700 ppb,"2,000 ppb"
Fort Ann Water Supply,Manganese,3.33 ppb,100 ppb,
Fort Ann Water Supply,Trichloroacetic acid,0.200 ppb,0.1 ppb,
Fort Ann Water Supply,None,,,
Fort Edward Water District #1 (qby/hf),Bromodichloromethane,2.88 ppb,0.06 ppb,
Fort Edward Water District #1 (qby/hf),Chloroform,61.4 ppb,0.4 ppb,
Fort Edward Water District #1 (qby/hf),Dichloroacetic acid,7.87 ppb,0.2 ppb,
Fort Edward Water District #1 (qby/hf),Haloacetic acids (HAA5)†,22.6 ppb,0.1 ppb,60 ppb
Fort Edward Water District #1 (qby/hf),Nitrate*,0.300 ppm,0.14 ppm,10 ppm
Fort Edward Water District #1 (qby/hf),Total trihalomethanes (TTHMs)†,64.3 ppb,0.15 ppb,80 ppb
Fort Edward Water District #1 (qby/hf),Trichloroacetic acid,14.7 ppb,0.1 ppb,
Fort Edward Water District #1 (qby/hf),Fluoride*,0.609 ppm,,4 ppm
Fort Edward Water District #1 (qby/hf),Monochloroacetic acid*,0.0688 ppb,53 ppb,
Fort Edward Water District #1 (qby/hf),None,,,
Granville Village,Bromodichloromethane,3.33 ppb,0.06 ppb,
Granville Village,Bromoform,4.07 ppb,0.5 ppb,
Granville Village,Chloroform,8.12 ppb,0.4 ppb,
Granville Village,Dibromochloromethane,1.94 ppb,0.1 ppb,
Granville Village,Dichloroacetic acid,4.92 ppb,0.2 ppb,
Granville Village,Haloacetic acids (HAA5)†,8.35 ppb,0.1 ppb,60 ppb
Granville Village,Nitrate,0.399 ppm,0.14 ppm,10 ppm
Granville Village,Total trihalomethanes (TTHMs)†,17.5 ppb,0.15 ppb,80 ppb
Granville Village,Trichloroacetic acid,3.16 ppb,0.1 ppb,
Granville Village,Barium,12.9 ppb,700 ppb,"2,000 ppb"
Granville Village,Monochloroacetic acid,0.297 ppb,53 ppb,
Granville Village,None,,,
Kingsbury Carriage Court,Arsenic,3.70 ppb,0.004 ppb,10 ppb
Kingsbury Carriage Court,Barium,47.0 ppb,700 ppb,"2,000 ppb"
Kingsbury Carriage Court,Fluoride,0.300 ppm,,4 ppm
Kingsbury Carriage Court,Manganese,10.00 ppb,100 ppb,
Kingsbury Carriage Court,Nitrate,0.0243 ppm,0.14 ppm,10 ppm
Kingsbury Carriage Court,Nitrate and nitrite,0.139 ppm,0.14 ppm,10 ppm
Kingsbury Carriage Court,None,,,
Salem Water Department,Arsenic*,1.25 ppb,0.004 ppb,10 ppb
Salem Water Department,Bromodichloromethane*,15.0 ppb,0.06 ppb,
Salem Water Department,Chloroform*,29.2 ppb,0.4 ppb,
Salem Water Department,Chromium (hexavalent),0.0588 ppb,0.02 ppb,
Salem Water Department,Dibromochloromethane*,5.13 ppb,0.1 ppb,
Salem Water Department,Dichloroacetic acid*,13.1 ppb,0.2 ppb,
Salem Water Department,Haloacetic acids (HAA5)*†,26.1 ppb,0.1 ppb,60 ppb
Salem Water Department,Haloacetic acids (HAA9)†,34.8 ppb,0.06 ppb,
Salem Water Department,"Radium, combined (-226 &amp; -228)*",0.60 pCi/L,0.05 pCi/L,5 pCi/L
Salem Water Department,Total trihalomethanes (TTHMs)*†,54.1 ppb,0.15 ppb,80 ppb
Salem Water Department,Trichloroacetic acid*,13.0 ppb,0.1 ppb,
Salem Water Department,Barium*,27.8 ppb,700 ppb,"2,000 ppb"
Salem Water Department,Chlorate,295.0 ppb,210 ppb,
Salem Water Department,Chromium (total),0.0625 ppb,,100 ppb
Salem Water Department,Dibromomethane*,0.870 ppb,,
Salem Water Department,Fluoride*,0.558 ppm,,4 ppm
Salem Water Department,Manganese,21.6 ppb,100 ppb,
Salem Water Department,Monochloroacetic acid*,1.96 ppb,53 ppb,
Salem Water Department,Nitrate*,0.0460 ppm,0.14 ppm,10 ppm
Salem Water Department,Strontium,0.0885 ppb,"1,500 ppb",
Salem Water Department,Vanadium,0.513 ppb,21 ppb,
Salem Water Department,None,,,
Washington Center,Bromodichloromethane,5.30 ppb,0.06 ppb,
Washington Center,Chloroform,6.60 ppb,0.4 ppb,
Washington Center,Dibromoacetic acid,1.10 ppb,0.04 ppb,
Washington Center,Dibromochloromethane,3.50 ppb,0.1 ppb,
Washington Center,Dichloroacetic acid,4.75 ppb,0.2 ppb,
Washington Center,Haloacetic acids (HAA5)†,7.80 ppb,0.1 ppb,60 ppb
Washington Center,Nitrate,0.661 ppm,0.14 ppm,10 ppm
Washington Center,Total trihalomethanes (TTHMs)†,15.9 ppb,0.15 ppb,80 ppb
Washington Center,Trichloroacetic acid,1.95 ppb,0.1 ppb,
Washington Center,Antimony,0.225 ppb,1 ppb,6 ppb
Washington Center,Barium,172.8 ppb,700 ppb,"2,000 ppb"
Washington Center,Bromoform,0.480 ppb,0.5 ppb,
Washington Center,Chloromethane,0.335 ppb,2.69 ppb,
Washington Center,Fluoride,0.0500 ppm,,4 ppm
Washington Center,Manganese,76.0 ppb,100 ppb,
Washington Center,None,,,
Whitehall Village,Bromodichloromethane,1.99 ppb,0.06 ppb,
Whitehall Village,Chloroform,56.8 ppb,0.4 ppb,
Whitehall Village,Dibromoacetic acid,0.0952 ppb,0.04 ppb,
Whitehall Village,Dichloroacetic acid,17.4 ppb,0.2 ppb,
Whitehall Village,Haloacetic acids (HAA5)†,37.1 ppb,0.1 ppb,60 ppb
Whitehall Village,Total trihalomethanes (TTHMs)†,58.4 ppb,0.15 ppb,80 ppb
Whitehall Village,Trichloroacetic acid,20.5 ppb,0.1 ppb,
Whitehall Village,Barium,4.65 ppb,700 ppb,"2,000 ppb"
Whitehall Village,Dibromochloromethane,0.0727 ppb,0.1 ppb,
Whitehall Village,Monobromoacetic acid,0.548 ppb,25 ppb,
Whitehall Village,Monochloroacetic acid,0.376 ppb,53 ppb,
Whitehall Village,Nitrate,0.0276 ppm,0.14 ppm,10 ppm
Whitehall Village,None,,,
Lake Placid V,Bromodichloromethane,1.54 ppb,0.06 ppb,
Lake Placid V,Chloroform,37.8 ppb,0.4 ppb,
Lake Placid V,Dichloroacetic acid,15.1 ppb,0.2 ppb,
Lake Placid V,Haloacetic acids (HAA5)†,32.7 ppb,0.1 ppb,60 ppb
Lake Placid V,Total trihalomethanes (TTHMs)†,39.4 ppb,0.15 ppb,80 ppb
Lake Placid V,Trichloroacetic acid,17.2 ppb,0.1 ppb,
Lake Placid V,Barium,4.12 ppb,700 ppb,"2,000 ppb"
Lake Placid V,Chromium (total),0.200 ppb,,100 ppb
Lake Placid V,Di(2-ethylhexyl) phthalate,0.650 ppb,3 ppb,6 ppb
Lake Placid V,Dibromoacetic acid,0.0479 ppb,0.04 ppb,
Lake Placid V,Monochloroacetic acid,0.256 ppb,53 ppb,
Lake Placid V,None,,,
Moriah Water District,Bromodichloromethane,2.29 ppb,0.06 ppb,
Moriah Water District,Chloroform,60.5 ppb,0.4 ppb,
Moriah Water District,Dibromoacetic acid,0.733 ppb,0.04 ppb,
Moriah Water District,Dibromochloromethane,3.75 ppb,0.1 ppb,
Moriah Water District,Dichloroacetic acid,14.0 ppb,0.2 ppb,
Moriah Water District,Haloacetic acids (HAA5)†,45.0 ppb,0.1 ppb,60 ppb
Moriah Water District,"Radium, combined (-226 &amp; -228)",0.60 pCi/L,0.05 pCi/L,5 pCi/L
Moriah Water District,Total trihalomethanes (TTHMs)†,66.6 ppb,0.15 ppb,80 ppb
Moriah Water District,Trichloroacetic acid,29.0 ppb,0.1 ppb,
Moriah Water District,Barium,1.05 ppb,700 ppb,"2,000 ppb"
Moriah Water District,Dalapon,0.253 ppb,,200 ppb
Moriah Water District,Fluoride,0.0200 ppm,,4 ppm
Moriah Water District,Monobromoacetic acid,0.112 ppb,25 ppb,
Moriah Water District,Monochloroacetic acid,1.11 ppb,53 ppb,
Moriah Water District,Nitrate,0.0467 ppm,0.14 ppm,10 ppm
Moriah Water District,None,,,
Chesterfield Water Department,Arsenic,0.300 ppb,0.004 ppb,10 ppb
Chesterfield Water Department,Haloacetic acids (HAA5)†,5.03 ppb,0.1 ppb,60 ppb
Chesterfield Water Department,"Radium, combined (-226 &amp; -228)",0.59 pCi/L,0.05 pCi/L,5 pCi/L
Chesterfield Water Department,Total trihalomethanes (TTHMs)†,13.6 ppb,0.15 ppb,80 ppb
Chesterfield Water Department,Barium,256.5 ppb,700 ppb,"2,000 ppb"
Chesterfield Water Department,Chromium (total),3.00 ppb,,100 ppb
Chesterfield Water Department,Cyanide,266.7 ppb,,200 ppb
Chesterfield Water Department,Fluoride,0.445 ppm,,4 ppm
Chesterfield Water Department,Nitrate,0.213 ppm,0.14 ppm,10 ppm
Chesterfield Water Department,None,,,
Schroon Lake Water District,Bromodichloromethane,1.09 ppb,0.06 ppb,
Schroon Lake Water District,Chloroform,1.26 ppb,0.4 ppb,
Schroon Lake Water District,Dibromochloromethane,1.06 ppb,0.1 ppb,
Schroon Lake Water District,Haloacetic acids (HAA5)†,0.275 ppb,0.1 ppb,60 ppb
Schroon Lake Water District,Total trihalomethanes (TTHMs)†,3.54 ppb,0.15 ppb,80 ppb
Schroon Lake Water District,Bromoform,0.129 ppb,0.5 ppb,
Schroon Lake Water District,Dibromoacetic acid,0.0492 ppb,0.04 ppb,
Schroon Lake Water District,Dichloroacetic acid,0.179 ppb,0.2 ppb,
Schroon Lake Water District,Nitrate,0.272 ppm,0.14 ppm,10 ppm
Schroon Lake Water District,Trichloroacetic acid,0.0475 ppb,0.1 ppb,
Schroon Lake Water District,None,,,
Adirondack Airport Community,Nitrate,0.715 ppm,0.14 ppm,10 ppm
Adirondack Airport Community,Barium,24.4 ppb,700 ppb,"2,000 ppb"
Adirondack Airport Community,Dichlorodifluoromethane,0.857 ppb,,
Adirondack Airport Community,Manganese,14.0 ppb,100 ppb,
Adirondack Airport Community,MTBE,0.450 ppb,13 ppb,
Adirondack Airport Community,None,,,
Bangor Water District,Bromate,0.238 ppb,0.1 ppb,10 ppb
Bangor Water District,Chloroform,7.10 ppb,0.4 ppb,
Bangor Water District,Chromium (hexavalent),0.411 ppb,0.02 ppb,
Bangor Water District,Dichloroacetic acid,16.0 ppb,0.2 ppb,
Bangor Water District,Haloacetic acids (HAA5)†,20.5 ppb,0.1 ppb,60 ppb
Bangor Water District,Haloacetic acids (HAA9)†,19.5 ppb,0.06 ppb,
Bangor Water District,Total trihalomethanes (TTHMs)†,6.75 ppb,0.15 ppb,80 ppb
Bangor Water District,Trichloroacetic acid,1.29 ppb,0.1 ppb,
