Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Greenburgh Consolidated Water District #1,Strontium,0.0205 ppb,"1,500 ppb",
Greenburgh Consolidated Water District #1,None,,,
North Castle Water District #1,Bromodichloromethane,3.50 ppb,0.06 ppb,
North Castle Water District #1,Chloroform,29.3 ppb,0.4 ppb,
North Castle Water District #1,Chromium (hexavalent)*,0.0435 ppb,0.02 ppb,
North Castle Water District #1,Dichloroacetic acid,10.8 ppb,0.2 ppb,
North Castle Water District #1,Haloacetic acids (HAA5)†,33.4 ppb,0.1 ppb,60 ppb
North Castle Water District #1,Haloacetic acids (HAA9)*†,56.7 ppb,0.06 ppb,
North Castle Water District #1,Nitrate,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,Nitrate and nitrite,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,"Radium, combined (-226 &amp; -228)",1.01 pCi/L,0.05 pCi/L,5 pCi/L
North Castle Water District #1,Tetrachloroethylene (perchloroethylene),0.617 ppb,0.06 ppb,5 ppb
North Castle Water District #1,Total trihalomethanes (TTHMs)†,32.6 ppb,0.15 ppb,80 ppb
North Castle Water District #1,Trichloroacetic acid,21.8 ppb,0.1 ppb,
North Castle Water District #1,Barium,48.1 ppb,700 ppb,"2,000 ppb"
North Castle Water District #1,Bromoform,0.0508 ppb,0.5 ppb,
North Castle Water District #1,Chlorate*,80.1 ppb,210 ppb,
North Castle Water District #1,Chromium (total),1.28 ppb,,100 ppb
North Castle Water District #1,Cyanide,4.56 ppb,,200 ppb
North Castle Water District #1,Di(2-ethylhexyl) phthalate,0.460 ppb,3 ppb,6 ppb
North Castle Water District #1,Dibromoacetic acid,0.0238 ppb,0.04 ppb,
North Castle Water District #1,Dibromochloromethane,0.184 ppb,0.1 ppb,
North Castle Water District #1,Fluoride,0.0360 ppm,,4 ppm
North Castle Water District #1,Hexachlorocyclopentadiene*,0.0250 ppb,2 ppb,50 ppb
North Castle Water District #1,Manganese,6.85 ppb,100 ppb,
North Castle Water District #1,Monochloroacetic acid,0.721 ppb,53 ppb,
North Castle Water District #1,Pentachlorophenol*,0.0107 ppb,0.3 ppb,1 ppb
North Castle Water District #1,Strontium*,0.0225 ppb,"1,500 ppb",
North Castle Water District #1,Uranium,0.74 pCi/L,0.43 pCi/L,20 pCi/L
North Castle Water District #1,None,,,
North Castle Water District #1,Bromodichloromethane,3.50 ppb,0.06 ppb,
North Castle Water District #1,Chloroform,29.3 ppb,0.4 ppb,
North Castle Water District #1,Chromium (hexavalent)*,0.0435 ppb,0.02 ppb,
North Castle Water District #1,Dichloroacetic acid,10.8 ppb,0.2 ppb,
North Castle Water District #1,Haloacetic acids (HAA5)†,33.4 ppb,0.1 ppb,60 ppb
North Castle Water District #1,Haloacetic acids (HAA9)*†,56.7 ppb,0.06 ppb,
North Castle Water District #1,Nitrate,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,Nitrate and nitrite,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,"Radium, combined (-226 &amp; -228)",1.01 pCi/L,0.05 pCi/L,5 pCi/L
North Castle Water District #1,Tetrachloroethylene (perchloroethylene),0.617 ppb,0.06 ppb,5 ppb
North Castle Water District #1,Total trihalomethanes (TTHMs)†,32.6 ppb,0.15 ppb,80 ppb
North Castle Water District #1,Trichloroacetic acid,21.8 ppb,0.1 ppb,
North Castle Water District #1,Barium,48.1 ppb,700 ppb,"2,000 ppb"
North Castle Water District #1,Bromoform,0.0508 ppb,0.5 ppb,
North Castle Water District #1,Chlorate*,80.1 ppb,210 ppb,
North Castle Water District #1,Chromium (total),1.28 ppb,,100 ppb
North Castle Water District #1,Cyanide,4.56 ppb,,200 ppb
North Castle Water District #1,Di(2-ethylhexyl) phthalate,0.460 ppb,3 ppb,6 ppb
North Castle Water District #1,Dibromoacetic acid,0.0238 ppb,0.04 ppb,
North Castle Water District #1,Dibromochloromethane,0.184 ppb,0.1 ppb,
North Castle Water District #1,Fluoride,0.0360 ppm,,4 ppm
North Castle Water District #1,Hexachlorocyclopentadiene*,0.0250 ppb,2 ppb,50 ppb
North Castle Water District #1,Manganese,6.85 ppb,100 ppb,
North Castle Water District #1,Monochloroacetic acid,0.721 ppb,53 ppb,
North Castle Water District #1,Pentachlorophenol*,0.0107 ppb,0.3 ppb,1 ppb
North Castle Water District #1,Strontium*,0.0225 ppb,"1,500 ppb",
North Castle Water District #1,Uranium,0.74 pCi/L,0.43 pCi/L,20 pCi/L
North Castle Water District #1,None,,,
North Castle Water District #1,Bromodichloromethane,3.50 ppb,0.06 ppb,
North Castle Water District #1,Chloroform,29.3 ppb,0.4 ppb,
North Castle Water District #1,Chromium (hexavalent)*,0.0435 ppb,0.02 ppb,
North Castle Water District #1,Dichloroacetic acid,10.8 ppb,0.2 ppb,
North Castle Water District #1,Haloacetic acids (HAA5)†,33.4 ppb,0.1 ppb,60 ppb
North Castle Water District #1,Haloacetic acids (HAA9)*†,56.7 ppb,0.06 ppb,
North Castle Water District #1,Nitrate,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,Nitrate and nitrite,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,"Radium, combined (-226 &amp; -228)",1.01 pCi/L,0.05 pCi/L,5 pCi/L
North Castle Water District #1,Tetrachloroethylene (perchloroethylene),0.617 ppb,0.06 ppb,5 ppb
North Castle Water District #1,Total trihalomethanes (TTHMs)†,32.6 ppb,0.15 ppb,80 ppb
North Castle Water District #1,Trichloroacetic acid,21.8 ppb,0.1 ppb,
North Castle Water District #1,Barium,48.1 ppb,700 ppb,"2,000 ppb"
North Castle Water District #1,Bromoform,0.0508 ppb,0.5 ppb,
North Castle Water District #1,Chlorate*,80.1 ppb,210 ppb,
North Castle Water District #1,Chromium (total),1.28 ppb,,100 ppb
North Castle Water District #1,Cyanide,4.56 ppb,,200 ppb
North Castle Water District #1,Di(2-ethylhexyl) phthalate,0.460 ppb,3 ppb,6 ppb
North Castle Water District #1,Dibromoacetic acid,0.0238 ppb,0.04 ppb,
North Castle Water District #1,Dibromochloromethane,0.184 ppb,0.1 ppb,
North Castle Water District #1,Fluoride,0.0360 ppm,,4 ppm
North Castle Water District #1,Hexachlorocyclopentadiene*,0.0250 ppb,2 ppb,50 ppb
North Castle Water District #1,Manganese,6.85 ppb,100 ppb,
North Castle Water District #1,Monochloroacetic acid,0.721 ppb,53 ppb,
North Castle Water District #1,Pentachlorophenol*,0.0107 ppb,0.3 ppb,1 ppb
North Castle Water District #1,Strontium*,0.0225 ppb,"1,500 ppb",
North Castle Water District #1,Uranium,0.74 pCi/L,0.43 pCi/L,20 pCi/L
North Castle Water District #1,None,,,
New Castle/Stanwood WD,Bromochloroacetic acid,0.333 ppb,0.02 ppb,
New Castle/Stanwood WD,Bromodichloromethane,2.19 ppb,0.06 ppb,
New Castle/Stanwood WD,Chloroform,10.8 ppb,0.4 ppb,
New Castle/Stanwood WD,Chromium (hexavalent),0.0600 ppb,0.02 ppb,
New Castle/Stanwood WD,Dibromoacetic acid,0.116 ppb,0.04 ppb,
New Castle/Stanwood WD,Dibromochloromethane,0.539 ppb,0.1 ppb,
New Castle/Stanwood WD,Dichloroacetic acid,3.98 ppb,0.2 ppb,
New Castle/Stanwood WD,Haloacetic acids (HAA5)†,6.12 ppb,0.1 ppb,60 ppb
New Castle/Stanwood WD,Haloacetic acids (HAA9)†,7.75 ppb,0.06 ppb,
New Castle/Stanwood WD,"Radium, combined (-226 &amp; -228)",0.73 pCi/L,0.05 pCi/L,5 pCi/L
New Castle/Stanwood WD,Total trihalomethanes (TTHMs)†,13.5 ppb,0.15 ppb,80 ppb
New Castle/Stanwood WD,Trichloroacetic acid,2.01 ppb,0.1 ppb,
New Castle/Stanwood WD,Barium,13.5 ppb,700 ppb,"2,000 ppb"
New Castle/Stanwood WD,Bromoform,0.0579 ppb,0.5 ppb,
New Castle/Stanwood WD,Chromium (total),0.290 ppb,,100 ppb
New Castle/Stanwood WD,Cyanide,0.488 ppb,,200 ppb
New Castle/Stanwood WD,Di(2-ethylhexyl) phthalate,0.101 ppb,3 ppb,6 ppb
New Castle/Stanwood WD,Fluoride,0.761 ppm,,4 ppm
New Castle/Stanwood WD,Manganese,0.442 ppb,100 ppb,
New Castle/Stanwood WD,Monobromoacetic acid,0.115 ppb,25 ppb,
New Castle/Stanwood WD,Monochloroacetic acid,0.194 ppb,53 ppb,
New Castle/Stanwood WD,Nitrate,0.105 ppm,0.14 ppm,10 ppm
New Castle/Stanwood WD,Nitrate and nitrite,0.140 ppm,0.14 ppm,10 ppm
New Castle/Stanwood WD,Strontium,0.0189 ppb,"1,500 ppb",
New Castle/Stanwood WD,Uranium,0.08 pCi/L,0.43 pCi/L,20 pCi/L
New Castle/Stanwood WD,None,,,
Broadview-westchester Joint Water Agency,Bromodichloromethane,9.97 ppb,0.06 ppb,
