Utility name,City,People served,Zip
Yeshiva Kehileth Yakov,"Brooklyn, NY",Population served:150,10562
Croton-on-hudson Village,"Croton-on-the-hudson, NY","Population served:8,000",10562
Cortlandt Consolidated WD,"Cortlandt Manor, NY","Population served:28,369",10566
Buchanan Village,"Brewster, NY","Population served:2,200",10566
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10567
Peekskill City,"Peekskill, NY","Population served:52,969",10567
Old Farm Hill Water District,"Valhalla, NY","Population served:1,768",10570
Kensico Water District,"Valhalla, NY","Population served:17,917",10570
Briarcliff Manor Village,"Briarcliff Manor, NY","Population served:9,190",10570
Pace University,"Pleasantville, NY","Population served:2,753",10570
Bear Ridge Lake Water District,"Valhalla, NY",Population served:518,10570
Meadowbrook Water District,"Valhalla, NY",Population served:91,10570
Pleasantville Road Water District,"Valhalla, NY","Population served:2,809",10570
Pleasantville Extension #1,"Valhalla, NY",Population served:49,10570
New Castle/Stanwood WD,"Chappaqua, NY","Population served:28,501",10570
Applehill Farm Water District,"Valhalla, NY",Population served:209,10570
Mill River Water District,"Valhalla, NY",Population served:74,10570
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10573
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10576
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10576
Yonkers City,"Yonkers, NY","Population served:196,086",10576
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10576
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10576
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10576
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10576
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10576
White Plains City,"White Plains, NY","Population served:59,353",10576
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10576
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10577
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10578
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10578
Yonkers City,"Yonkers, NY","Population served:196,086",10578
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10578
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10578
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10578
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10578
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10578
White Plains City,"White Plains, NY","Population served:59,353",10578
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10578
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10579
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10579
Yonkers City,"Yonkers, NY","Population served:196,086",10579
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10579
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10579
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10579
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10579
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10579
White Plains City,"White Plains, NY","Population served:59,353",10579
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10579
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10580
White Plains City,"White Plains, NY","Population served:59,353",10580
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10583
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10583
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10583
Yonkers City,"Yonkers, NY","Population served:196,086",10583
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10583
Yonkers City,"Yonkers, NY","Population served:196,086",10583
White Plains City,"White Plains, NY","Population served:59,353",10583
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10583
Lincoln Hall School,"Lincolndale, NY",Population served:500,10589
Somers Chase Water Works Corporation,"Carmel, NY",Population served:224,10589
Greenbriar Subdivision,"Somers, NY",Population served:956,10589
Somers Manor Nursing Home Inc.,"Somers, NY",Population served:400,10589
Dykeer Water Company,"Merrick, NY",Population served:480,10589
Croton Falls Water District,"North Salem, NY",Population served:216,10589
Aquarion Water Company of Connecticut - Main System,"Bridgeport, CT","Population served:351,756",10590
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10590
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10590
Yonkers City,"Yonkers, NY","Population served:196,086",10590
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10590
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10590
Aquarion Water Company of Connecticut - Stamford,"Bridgeport, CT","Population served:99,415",10590
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10590
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10590
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10590
Sleepy Hollow (village),"Sleepy Hollow, NY","Population served:9,870",10591
Pocantico Hills Water District,"Valhalla, NY",Population served:329,10591
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10591
Kensico Water District,"Valhalla, NY","Population served:17,917",10591
Elmsford Village,"Elmsford, NY","Population served:4,600",10591
Irvington Water Supply,"Irvington, NY","Population served:6,631",10591
Pleasantville Water District,"Pleasantville, NY","Population served:10,214",10594
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10595
Westchester County Water District #3,"New Rochelle, NY","Population served:6,000",10595
Pleasant Ridge Water District,"Valhalla, NY",Population served:95,10595
North Castle Water District #1,"Armonk, NY","Population served:2,500",10595
