State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
ND,Page,58002.0,Page City of,232,12-Dibromo-3-chloropropane (DBCP),0.00317,0.0017,0.2,ppb,1.8647058823529414
ND,Page,58002.0,Page City of,232,Barium,91.0,700.0,2000,ppb,0.13
ND,Page,58002.0,Page City of,232,Nitrate,0.266,0.14,10,ppm,1.9
ND,Page,58002.0,Page City of,232,Nitrate and nitrite,0.215,0.14,10,ppm,1.5357142857142856
ND,Horace,58002.0,Riverdale Subdivision,88,Arsenic,1.25,0.004,10,ppb,312.5
ND,Horace,58002.0,Riverdale Subdivision,88,Selenium,3.66,30.0,50,ppb,0.12200000000000001
ND,Horace,58002.0,Riverdale Subdivision,88,Uranium,0.01,0.43,20,pCi/L,0.023255813953488372
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Arsenic,2.0,0.004,10,ppb,500.0
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Bromodichloromethane,0.255,0.06,0,ppb,4.25
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Dibromoacetic acid,2.63,0.04,0,ppb,65.75
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Dichloroacetic acid,0.88,0.2,0,ppb,4.3999999999999995
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Haloacetic acids (HAA5)†,3.51,0.1,60,ppb,35.099999999999994
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Radium combined (-226 &amp; -228),1.78,0.05,5,pCi/L,35.6
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Total trihalomethanes (TTHMs)†,0.59,0.15,80,ppb,3.933333333333333
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Barium,32.0,700.0,2000,ppb,0.045714285714285714
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Chloroform,0.335,0.4,0,ppb,0.8375
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Manganese,103.0,100.0,0,ppb,1.03
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Selenium,6.31,30.0,50,ppb,0.21033333333333332
ND,Horace,58002.0,Sleepy Hollow Water Company,100,Uranium,0.64,0.43,20,pCi/L,1.4883720930232558
ND,Valley City,58002.0,Tower City City of,253,Bromodichloromethane,1.97,0.06,0,ppb,32.833333333333336
ND,Valley City,58002.0,Tower City City of,253,Chloroform,2.89,0.4,0,ppb,7.225
ND,Valley City,58002.0,Tower City City of,253,Dibromochloromethane,0.92,0.1,0,ppb,9.2
ND,Valley City,58002.0,Tower City City of,253,Dichloroacetic acid,1.99,0.2,0,ppb,9.95
ND,Valley City,58002.0,Tower City City of,253,Haloacetic acids (HAA5)†,4.44,0.1,60,ppb,44.4
ND,Valley City,58002.0,Tower City City of,253,Total trihalomethanes (TTHMs)†,5.78,0.15,80,ppb,38.53333333333334
ND,Valley City,58002.0,Tower City City of,253,Trichloroacetic acid,1.03,0.1,0,ppb,10.299999999999999
ND,Valley City,58002.0,Tower City City of,253,Monochloroacetic acid,1.43,53.0,0,ppb,0.026981132075471696
ND,Galesburg,58009.0,Galesburg City of,108,Bromodichloromethane,21.4,0.06,0,ppb,356.66666666666663
ND,Galesburg,58009.0,Galesburg City of,108,Chloroform,48.4,0.4,0,ppb,120.99999999999999
ND,Galesburg,58009.0,Galesburg City of,108,Dibromoacetic acid,2.84,0.04,0,ppb,71.0
ND,Galesburg,58009.0,Galesburg City of,108,Dibromochloromethane,8.77,0.1,0,ppb,87.69999999999999
